is_approximate_match,is_synonym,matched_name,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name
False,False,Agrimonia eupatoria,ICN,1.0,agrimonia eupatoria,[],False,False,Agrimonia eupatoria,852855,species,ott3.6draft1,"['Agrimonia alba', 'Agrimonia bracteosa']","['ncbi:57912', 'gbif:3001956', 'irmng:10190010']",Agrimonia eupatoria
False,False,Corydalis flexuosa,ICN,1.0,corydalis flexuosa,[],False,False,Corydalis flexuosa,731831,species,ott3.6draft1,[],"['ncbi:332428', 'gbif:7315169']",Corydalis flexuosa
False,False,Datura stramonium,ICN,1.0,datura stramonium,[],False,False,Datura stramonium,822825,species,ott3.6draft1,"['Datura bernhardii', 'Datura capensis', 'Datura ferox', 'Datura hybrida', 'Datura inermis', 'Datura laevis', 'Datura loricata', 'Datura lurida', 'Datura parviflora', 'Datura praecox', 'Datura pseudostramonium', 'Datura stramonium chalybaea', 'Datura stramonium chalybea', 'Datura stramonium inermis', 'Datura stramonium stramonium', 'Datura stramonium tatula', 'Datura tatula', 'Datura tatula tatula', 'Datura wallichii', 'Stramonium foetidum', 'Stramonium laeve', 'Stramonium spinosum', 'Stramonium vulgare', 'Stramonium vulgatum']","['ncbi:4076', 'gbif:2928751', 'irmng:10207659']",Datura stramonium
False,False,Glaucium flavum,ICN,1.0,glaucium flavum,[],False,False,Glaucium flavum,96178,species,ott3.6draft1,"['Chelidonium corniculatum', 'Chelidonium fulvum', 'Chelidonium glaucium', 'Chelidonium glaucum', 'Chelidonium littorale', 'Glacium flavum', 'Glaucium flavum glabratum', 'Glaucium flavum subleiocarpum', 'Glaucium flavum vestitum', 'Glaucium fulvum', 'Glaucium glaucium', 'Glaucium glaucum', 'Glaucium leiocarpum', 'Glaucium littorale', 'Glaucium luteum', 'Glaucium maritimum', 'Glaucium richardsonii', 'Glaucium serpieri', 'Glaucium tricolor', 'Papaver cornutum']","['ncbi:56853', 'worms:425801', 'gbif:5334190', 'irmng:10194536', 'irmng:10214322']",Glaucium flavum
False,False,Hyoscyamus niger,ICN,1.0,hyoscyamus niger,[],False,False,Hyoscyamus niger,822716,species,ott3.6draft1,"['Hyoscyamus agrestis', 'Hyoscyamus auriculatus', 'Hyoscyamus bohemicus', 'Hyoscyamus lethalis', 'Hyoscyamus niger agrestis', 'Hyoscyamus niger annuus', 'Hyoscyamus niger auriculatus', 'Hyoscyamus niger bohemicus', 'Hyoscyamus niger chinensis', 'Hyoscyamus niger pallidus', 'Hyoscyamus nigerbiennis', 'Hyoscyamus officinarum', 'Hyoscyamus pallidus', 'Hyoscyamus persicus', 'Hyoscyamus pictus', 'Hyoscyamus syspirensis', 'Hyoscyamus verviensis', 'Hyoscyamus vulgaris']","['ncbi:4079', 'gbif:2928978', 'irmng:11119789']",Hyoscyamus niger
False,False,Lamprocapnos spectabilis,ICN,1.0,lamprocapnos spectabilis,[],False,False,Lamprocapnos spectabilis,928569,species,ott3.6draft1,['Dicentra spectabilis'],"['ncbi:54415', 'irmng:10661166']",Lamprocapnos spectabilis
False,True,Lycopersicon esculentum,ICN,1.0,lycopersicon esculentum,[],False,False,Solanum lycopersicum,378964,species,ott3.6draft1,"['Amatula flava', 'Amatula rubra', 'Lycopersicon cerasiforme', 'Lycopersicon esculentum', 'Lycopersicon esculentum cerasiforme', 'Lycopersicon esculentum galenii', 'Lycopersicon esculentum humboldtii', 'Lycopersicon esculentum leptophyllum', 'Lycopersicon esculentum pyriforme', 'Lycopersicon esculentum var. esculentum', 'Lycopersicon esculentum vulgare', 'Lycopersicon galeni', 'Lycopersicon humboldtii', 'Lycopersicon lycopersicon', 'Lycopersicon lycopersicum', 'Lycopersicon lycopersicum cerasiforme', 'Lycopersicon pimpinellifolium', 'Lycopersicon pomum-amoris', 'Lycopersicon pyriforme', 'Lycopersicon racemigerum', 'Lycopersicon solanum', 'Lycopersicon solanum-lycopersicum', 'Lycopersicum cerasiforme', 'Lycopersicum esculentum', 'Lycopersicum pimpinellifolium', 'Lycopersicum pyriforme', 'Lycopersicum racemigerum', 'Scubulon humboldti', 'Solanum esculentum', 'Solanum humboldtii', 'Solanum luridum', 'Solanum lycopersicum cerasiforme', 'Solanum lycopersicum var. humboldtii', 'Solanum melongena esculentum', 'Solanum pomiferum', 'Solanum pseudolycopersicum', 'Solanum pyriforme', 'Solanum spurium']","['ncbi:4081', 'gbif:2930137', 'gbif:9608998', 'irmng:11222025']",Solanum lycopersicum
False,False,Papaver somniferum,ICN,1.0,papaver somniferum,[],False,False,Papaver somniferum,438118,species,ott3.6draft1,"['Papaver album', 'Papaver album-nigrum', 'Papaver amoenum', 'Papaver amplexicaule', 'Papaver apodocarpum', 'Papaver dubium glabrum', 'Papaver glabrum', 'Papaver hortense', 'Papaver indehiscens', 'Papaver nigrum', 'Papaver officinale', 'Papaver opiiferum', 'Papaver opiiferum album', 'Papaver polycephalum', 'Papaver setigerum nigrum', 'Papaver setigerum valdesetosum', 'Papaver somniferum albiflorum', 'Papaver somniferum album', 'Papaver somniferum convar. nigrum (Hayne) Alef.', 'Papaver somniferum euroasiaticum', 'Papaver somniferum hortense', 'Papaver somniferum nigrum', 'Papaver somniferum officinalis', 'Papaver somniferum poecilospermum', 'Papaver somniferum subspontaneum', 'Papaver somniferum valdesetosum', 'Papaver somniferum variegatum', 'Papaver stipitatum']","['ncbi:3469', 'gbif:2888439', 'irmng:11129602']",Papaver somniferum
False,False,Petunia integrifolia,ICN,1.0,petunia integrifolia,[],False,False,Petunia integrifolia,1020641,species,ott3.6draft1,['Petunia violacea'],"['ncbi:4103', 'gbif:2928861', 'irmng:11009249']",Petunia integrifolia
False,False,Rosa glauca,ICN,1.0,rosa glauca,['incertae_sedis_inherited'],False,False,Rosa glauca,333889,species,ott3.6draft1,"['Rosa caesia glauca', 'Rosa cinnamomea rubrifolia', 'Rosa cinnamonea rubrifolia', 'Rosa ferruginea', 'Rosa glaucescens', 'Rosa gutensteinensis', 'Rosa ilseana', 'Rosa livida', 'Rosa lurida', 'Rosa rubicunda', 'Rosa rubrifolia', 'Rosa rubrifolia cinnamoneoides', 'Rosa rubrifolia senticosiformis']","['ncbi:74637', 'gbif:3003709', 'irmng:10188513', 'irmng:10583372', 'irmng:10765518', 'irmng:10584964', 'irmng:10184052', 'irmng:10586527']",Rosa glauca
False,False,Rubus idaeus,ICN,1.0,rubus idaeus,['incertae_sedis_inherited'],False,False,Rubus idaeus,156929,species,ott3.6draft1,"['Batidaea idaea', 'Batidaea vulgaris', 'Rubus chrysocarpus', 'Rubus frambaesianus', 'Rubus idaeus denudatus', 'Rubus idaeus integrifolius', 'Rubus idaeus simplicifolius']","['ncbi:32247', 'gbif:2993094', 'irmng:10187044']",Rubus idaeus
False,True,Stephanandra incisa,ICN,1.0,stephanandra incisa,[],False,False,Neillia incisa,424284,species,ott3.6draft1,"['Neillia incisa macrophylla', 'Opulaster flexuosus', 'Opulaster gracilis', 'Physocarpus flexuosus', 'Physocarpus gracilis', 'Spiraea incisa', 'Stephanandra flexuosa', 'Stephanandra gracilis', 'Stephanandra incisa', 'Stephanandra incisa macrophylla', 'Stephanandra incisa quadrifissa', 'Stephanandra quadrifissa']","['ncbi:190009', 'gbif:3853033', 'irmng:11199484']",Neillia incisa
False,True,Waldsteinia fragarioides,ICN,1.0,waldsteinia fragarioides,['sibling_higher'],False,False,Geum fragarioides,731522,species,ott3.6draft1,"['Comaropsis fragarioides', 'Dalibarda fragarioides', 'Dryas trifoliata', 'Geum waldsteinia', 'Rubus fragarioides', 'Waldsteinia fragarioides', 'Waldsteinia fragarioides fragarioides', 'Waldstenia fragarioides', 'Waldstenia fragarioides fragarioides']","['ncbi:32251', 'gbif:5370015', 'irmng:11105684', 'irmng:10701289']",Geum fragarioides
